Open time,Close
1578009600000000000,6568.73
1578096000000000000,6568.18
1578182400000000000,6589.0
1578268800000000000,6914.15
1578355200000000000,7315.6
1578441600000000000,7239.17
1578528000000000000,7030.39
1578614400000000000,7350.0
1578700800000000000,7225.27
1578787200000000000,7352.97
1578873600000000000,7306.14
1578960000000000000,7894.24
1579046400000000000,7881.35
1579132800000000000,7845.98
1579219200000000000,8035.0
1579305600000000000,8050.0
1579392000000000000,7838.11
1579478400000000000,7778.83
1579564800000000000,7893.54
1579651200000000000,7790.1
1579737600000000000,7518.0
1579824000000000000,7599.48
1579910400000000000,7573.36
1579996800000000000,7793.06
1580083200000000000,8055.42
1580169600000000000,8498.23
1580256000000000000,8438.07
1580342400000000000,8598.0
1580428800000000000,8411.38
1580515200000000000,8466.33
1580601600000000000,8429.12
1580688000000000000,8407.48
1580774400000000000,8304.62
1580860800000000000,8739.96
1580947200000000000,8865.47
1581033600000000000,8947.0
1581120000000000000,9044.88
1581206400000000000,9244.0
1581292800000000000,9031.31
1581379200000000000,9364.75
1581465600000000000,9478.0
1581552000000000000,9430.51
1581638400000000000,9550.7
1581724800000000000,9139.48
1581811200000000000,9161.25
1581897600000000000,8924.14
1581984000000000000,9431.53
1582070400000000000,8892.56
1582156800000000000,8918.84
1582243200000000000,8927.52
1582329600000000000,8938.69
1582416000000000000,9207.92
1582502400000000000,8890.79
1582588800000000000,8570.92
1582675200000000000,8071.09
1582761600000000000,8000.0
1582848000000000000,7897.0
1582934400000000000,7760.0
1583020800000000000,7707.54
1583107200000000000,7966.68
1583193600000000000,7854.32
1583280000000000000,7918.26
1583366400000000000,8135.18
1583452800000000000,8160.2
1583539200000000000,7956.6
1583625600000000000,7111.76
1583712000000000000,6958.83
1583798400000000000,7019.36
1583884800000000000,7120.06
1583971200000000000,4350.77
1584057600000000000,5173.76
1584144000000000000,4727.48
1584230400000000000,4849.3
1584316800000000000,4555.0
1584403200000000000,4933.17
1584489600000000000,4974.95
1584576000000000000,5846.68
1584662400000000000,5861.36
1584748800000000000,5808.7
1584835200000000000,5495.68
1584921600000000000,6079.71
1585008000000000000,6265.21
1585094400000000000,6195.65
1585180800000000000,6159.04
1585267200000000000,5842.05
1585353600000000000,5737.14
1585440000000000000,5383.4
1585526400000000000,5906.69
1585612800000000000,5940.0
1585699200000000000,6158.92
1585785600000000000,6357.94
1585872000000000000,6336.95
1585958400000000000,6423.0
1586044800000000000,6340.0
1586131200000000000,6817.58
1586217600000000000,6654.14
1586304000000000000,6799.83
1586390400000000000,6767.82
1586476800000000000,6392.29
1586563200000000000,6400.0
1586649600000000000,6447.0
1586736000000000000,6343.99
1586822400000000000,6310.91
1586908800000000000,6151.02
1586995200000000000,6597.19
1587081600000000000,6510.0
1587168000000000000,6707.4
1587254400000000000,6630.53
1587340800000000000,6364.18
1587427200000000000,6378.91
1587513600000000000,6635.42
1587600000000000000,6966.3
1587686400000000000,6980.02
1587772800000000000,7030.0
1587859200000000000,7171.99
1587945600000000000,7214.48
1588032000000000000,7237.38
1588118400000000000,8119.93
1588204800000000000,7953.94
1588291200000000000,8073.6
1588377600000000000,8190.72
1588464000000000000,8162.04
1588550400000000000,8179.88
1588636800000000000,8389.0
1588723200000000000,8500.01
1588809600000000000,9221.0
1588896000000000000,9069.71
1588982400000000000,8799.05
1589068800000000000,8087.53
1589155200000000000,7979.97
1589241600000000000,8180.38
1589328000000000000,8670.16
1589414400000000000,9088.71
1589500800000000000,8645.0
1589587200000000000,8716.65
1589673600000000000,8973.37
1589760000000000000,8975.1
1589846400000000000,8982.32
1589932800000000000,8786.0
1590019200000000000,8358.66
1590105600000000000,8490.98
1590192000000000000,8534.95
1590278400000000000,8139.37
1590364800000000000,8291.08
1590451200000000000,8199.83
1590537600000000000,8480.57
1590624000000000000,8664.11
1590710400000000000,8575.28
1590796800000000000,8733.18
1590883200000000000,8540.19
1590969600000000000,9048.99
1591056000000000000,8619.35
1591142400000000000,8655.26
1591228800000000000,8691.02
1591315200000000000,8602.0
1591401600000000000,8649.74
1591488000000000000,8684.8
1591574400000000000,8719.55
1591660800000000000,8665.42
1591747200000000000,8731.44
1591833600000000000,8285.13
1591920000000000000,8485.0
1592006400000000000,8467.86
1592092800000000000,8339.52
1592179200000000000,8375.37
1592265600000000000,8500.0
1592352000000000000,8489.05
1592438400000000000,8448.6
1592524800000000000,8376.45
1592611200000000000,8411.29
1592697600000000000,8352.68
1592784000000000000,8615.86
1592870400000000000,8540.05
1592956800000000000,8323.66
1593043200000000000,8285.97
1593129600000000000,8228.75
1593216000000000000,8108.44
1593302400000000000,8193.52
1593388800000000000,8209.59
1593475200000000000,8194.96
1593561600000000000,8258.81
1593648000000000000,8136.69
1593734400000000000,8121.89
1593820800000000000,8165.0
1593907200000000000,8112.35
1593993600000000000,8282.79
1594080000000000000,8252.66
1594166400000000000,8377.35
1594252800000000000,8224.8
1594339200000000000,8264.07
1594425600000000000,8218.95
1594512000000000000,8259.8
1594598400000000000,8188.78
1594684800000000000,8157.58
1594771200000000000,8093.07
1594857600000000000,8058.15
1594944000000000000,8052.89
1595030400000000000,8070.18
1595116800000000000,8101.09
1595203200000000000,8044.21
1595289600000000000,8187.31
1595376000000000000,8274.9
1595462400000000000,8320.5
1595548800000000000,8227.27
1595635200000000000,8362.82
1595721600000000000,8550.68
1595808000000000000,9348.84
1595894400000000000,9337.89
1595980800000000000,9490.0
1596067200000000000,9402.71
1596153600000000000,9583.13
1596240000000000000,10039.17
1596326400000000000,9413.21
1596412800000000000,9604.51
1596499200000000000,9527.49
1596585600000000000,9915.21
1596672000000000000,9968.96
1596758400000000000,9895.12
1596844800000000000,10027.57
1596931200000000000,9974.21
1597017600000000000,10180.01
1597104000000000000,9764.7
1597190400000000000,9858.66
1597276800000000000,9956.27
1597363200000000000,9991.74
1597449600000000000,10039.21
1597536000000000000,10096.49
1597622400000000000,10400.2
1597708800000000000,10062.63
1597795200000000000,9970.9
1597881600000000000,10053.01
1597968000000000000,9818.04
1598054400000000000,9952.33
1598140800000000000,9932.01
1598227200000000000,10026.64
1598313600000000000,9628.81
1598400000000000000,9740.51
1598486400000000000,9626.54
1598572800000000000,9738.48
1598659200000000000,9696.72
1598745600000000000,9872.95
1598832000000000000,9819.01
1598918400000000000,10031.48
1599004800000000000,9676.04
1599091200000000000,8635.02
1599177600000000000,8893.89
1599264000000000000,8634.9
1599350400000000000,8709.75
1599436800000000000,8825.55
1599523200000000000,8645.9
1599609600000000000,8711.85
